ID,Idade,Gênero,Departamento,Salário,Horas_Trabalhadas,Produtividade,Satisfação,Tempo_Empresa,Cursos_Realizados,Home_Office
54,23,Feminino,Vendas,2536.32,31,73.69505104043076,100.0,2.3,6,Sim
55,44,Feminino,RH,2536.32,39,87.37735063826555,100.0,18.9,4,Não
56,57,Masculino,Vendas,2536.32,34,78.19460745523725,100.0,10.6,2,Não
57,51,Feminino,Vendas,2536.32,39,87.25752941430196,100.0,8.8,8,Sim
58,29,Masculino,RH,2536.32,30,68.67997748877929,100.0,16.4,0,Sim
59,24,Masculino,TI,4480.46590107739,35,79.38823090909472,100.0,16.9,0,Sim
60,27,Masculino,Marketing,2536.32,42,93.96296320295158,100.0,7.3,0,Sim
61,34,Masculino,TI,2637.1463393522135,44,97.57069777548274,100.0,14.2,2,Sim
62,43,Masculino,Marketing,2536.32,33,75.30757902012614,100.0,15.7,5,Sim
63,38,Feminino,Marketing,5206.994977469134,42,92.59368253632817,100.0,13.4,9,Não
64,45,Masculino,TI,18678.90782630702,48,107.9168944273713,100.0,3.9,2,Não
65,19,Feminino,Marketing,2536.32,44,96.495279625969,100.0,17.6,7,Não
66,18,Masculino,TI,9335.950493147859,37,84.76005596368961,100.0,11.2,9,Não
67,53,Feminino,Vendas,2536.32,34,78.0824397529345,100.0,6.4,1,Sim
68,43,Feminino,Vendas,2536.32,44,96.54244850053507,100.0,9.1,8,Não
69,46,Masculino,TI,14938.19938185437,33,75.69079092295013,100.0,1.7,2,Não
70,38,Feminino,Vendas,3596.773733283517,41,91.24784359440942,100.0,3.4,4,Não
71,28,Masculino,Marketing,2536.32,42,94.31917451041917,100.0,15.5,9,Não
72,57,Feminino,TI,10149.978618998859,31,73.34045044602314,100.0,1.0,7,Não
73,28,Masculino,TI,28569.225249703108,48,104.12482753035425,100.0,8.9,1,Não
74,53,Feminino,Marketing,10015.628555509196,48,106.11502607914741,100.0,10.9,5,Sim
75,56,Masculino,Vendas,2536.32,33,75.83986720443336,100.0,2.0,4,Não
76,57,Feminino,RH,2536.32,33,76.67134007645046,100.0,19.5,9,Não
77,52,Feminino,TI,17524.60023716063,40,90.21319662823768,100.0,5.3,8,Não
78,51,Masculino,TI,11138.874208664587,34,77.24803066826118,100.0,6.8,4,Não
79,41,Masculino,Marketing,6025.97920093772,48,107.68094606433338,100.0,6.8,1,Sim
80,39,Masculino,TI,19249.25909405356,40,89.20397414319652,100.0,5.4,4,Sim
81,22,Masculino,TI,4313.546954437632,39,89.0760071385986,100.0,1.0,3,Não
82,50,Feminino,TI,2536.32,37,84.02131164867194,100.0,14.9,6,Não
83,53,Masculino,Vendas,2536.32,35,81.90119068575301,100.0,19.4,5,Não
84,37,Masculino,Vendas,2536.32,35,79.93933918618538,100.0,5.3,1,Sim
85,36,Masculino,Marketing,2536.32,37,83.29159323308954,100.0,13.6,4,Sim
86,52,Feminino,Vendas,2817.193882435902,44,96.48628560738717,100.0,15.1,6,Não
87,34,Masculino,Marketing,15144.8662406324,43,94.19686032374406,100.0,17.1,6,Não
88,51,Masculino,Marketing,9794.53060946503,40,88.41586405699451,100.0,9.0,4,Não
89,26,Masculino,TI,3013.8236595294147,41,92.26712665101148,100.0,6.8,8,Não
90,43,Masculino,RH,9910.29597337178,42,94.50872502322993,100.0,7.2,3,Não
91,19,Feminino,Vendas,2536.32,37,82.41880929796787,100.0,14.5,2,Sim
92,26,Masculino,RH,2536.32,47,104.89503831407612,100.0,16.5,3,Não
93,26,Masculino,Marketing,2536.32,30,69.51693894831656,100.0,4.5,4,Não
94,57,Feminino,RH,2536.32,44,98.14679301198555,100.0,8.0,5,Não
95,34,Feminino,TI,3982.4388184614363,37,85.61222062825543,100.0,18.1,2,Não
96,18,Masculino,Vendas,2536.32,40,90.89683931586553,100.0,16.3,1,Não
97,42,Feminino,Marketing,4257.046879781985,41,91.73146935209417,100.0,19.7,3,Sim
98,57,Feminino,Marketing,2536.32,41,91.10880777458472,100.0,15.3,4,Não
99,59,Masculino,RH,8166.126665524258,33,73.8481845986707,100.0,8.5,3,Sim
100,42,Feminino,RH,8037.541201620763,45,99.28084668075758,100.0,12.2,2,Não
101,56,Feminino,TI,7826.326529367761,33,75.78886976117231,100.0,13.6,7,Sim
102,52,Masculino,RH,4045.007975933746,34,77.01282047284882,100.0,2.5,9,Sim
103,20,Masculino,TI,12025.407045248103,34,77.8687430329077,100.0,11.3,3,Não
104,54,Masculino,RH,14483.787449880328,37,84.07685188295876,100.0,14.5,1,Sim
105,47,Feminino,Vendas,2536.32,39,87.77514401819192,100.0,4.2,1,Não
106,55,Feminino,Vendas,17208.07931773553,46,101.34999741917655,100.0,15.8,0,Não
107,51,Feminino,RH,6588.971450499346,38,86.16865467196672,100.0,12.1,3,Sim
108,29,Masculino,Marketing,5842.4411280919085,48,106.4419406495694,100.0,19.1,9,Não
109,36,Feminino,TI,4271.80863814702,43,94.90960092255716,100.0,1.8,8,Não
110,54,Feminino,Vendas,2536.32,37,85.41093237974627,100.0,6.0,6,Não
111,34,Masculino,TI,14257.015324642547,38,85.90141186771574,100.0,12.4,9,Sim
112,27,Masculino,Marketing,7694.559185791928,40,90.01884962294484,100.0,6.6,6,Sim
113,29,Feminino,TI,11308.116182022975,30,70.70821442325655,100.0,14.6,6,Sim
114,33,Masculino,TI,23183.5125440427,43,96.2332161312635,100.0,15.4,7,Sim
115,41,Feminino,RH,2536.32,34,78.95313663391325,100.0,2.9,0,Sim
116,36,Masculino,TI,13305.931580636978,43,96.28712416520182,100.0,10.8,9,Não
117,25,Masculino,RH,2536.32,33,75.38756262535956,100.0,10.7,9,Não
118,48,Masculino,Marketing,2536.32,30,70.3615035252061,100.0,8.0,7,Não
119,38,Masculino,TI,13929.278178402026,48,104.85627379267933,100.0,18.7,3,Não
120,34,Feminino,Marketing,2536.32,37,84.10855970577653,100.0,16.7,3,Sim
121,40,Masculino,TI,13848.315338078937,44,97.96677000935554,100.0,14.2,3,Sim
122,54,Feminino,TI,5397.802914064079,44,97.79188314272746,100.0,14.6,5,Sim
123,33,Masculino,RH,2536.32,38,85.87146248856106,100.0,9.8,6,Sim
124,23,Feminino,TI,3503.6265775562897,38,84.11815095450237,100.0,18.5,5,Não
125,25,Masculino,Vendas,3647.192463979649,39,87.45127509225904,100.0,14.2,0,Não
126,42,Feminino,TI,16288.285523098995,48,108.09284490114112,100.0,14.9,7,Sim
127,35,Feminino,TI,11812.628611602791,38,86.15985639199741,100.0,17.4,9,Sim
128,42,Masculino,RH,3049.787774121949,32,72.97232485907404,100.0,6.2,6,Não
129,29,Masculino,Marketing,10740.52238681964,48,109.2657078408647,100.0,16.3,5,Não
130,32,Feminino,TI,2536.32,40,89.1338251517855,100.0,4.7,5,Sim
131,43,Feminino,Marketing,6149.601244719728,35,80.96945720052673,100.0,7.6,4,Não
132,58,Masculino,TI,17923.974638896143,31,72.42719436187168,100.0,7.4,5,Não
133,43,Feminino,Vendas,2536.32,36,81.35377269015619,100.0,19.6,8,Sim
134,49,Feminino,Marketing,15186.685389074366,47,105.77531089260951,100.0,17.3,9,Sim
135,27,Feminino,Vendas,2536.32,31,70.80636316824352,100.0,14.3,8,Não
136,33,Feminino,Vendas,2536.32,46,102.91915417361,100.0,14.8,9,Não
137,24,Feminino,Marketing,2536.32,40,91.00058231804297,100.0,11.7,7,Não
138,34,Masculino,Vendas,3945.4040917594684,41,91.32937979092335,100.0,19.0,9,Sim
139,40,Masculino,Marketing,7175.862113141091,48,107.39246530006433,100.0,10.4,8,Sim
140,43,Masculino,Vendas,2536.32,36,81.74995348540105,100.0,8.2,9,Não
141,38,Feminino,TI,16530.12417238333,48,108.28869362927986,100.0,4.1,7,Não
142,39,Feminino,RH,2536.32,35,80.26032183877122,100.0,15.9,7,Sim
143,24,Masculino,Marketing,3985.926705195423,30,69.86569125852945,100.0,15.0,0,Não
144,31,Feminino,Marketing,4450.995825758189,46,102.81080827315978,100.0,8.3,9,Não
145,32,Feminino,RH,2536.32,40,90.79348872055222,100.0,1.5,4,Não
146,24,Feminino,RH,8045.68599319952,47,102.25146802676181,100.0,16.9,3,Não
147,26,Masculino,TI,11508.814305741747,46,103.30434024287815,100.0,1.2,1,Não
148,25,Masculino,TI,26842.96147342916,36,80.33750801196433,100.0,14.4,7,Não
149,40,Masculino,RH,5593.4567999774445,46,103.03254620434166,100.0,19.4,2,Não
150,46,Masculino,RH,19680.400095586643,48,109.12670513682758,100.0,9.3,3,Sim
151,35,Masculino,Vendas,2536.32,38,84.9090335697848,100.0,5.5,6,Não
152,48,Masculino,Vendas,3114.750095063486,46,101.58918571204542,100.0,14.4,9,Sim
153,47,Masculino,Vendas,13878.45824255472,48,106.89429533151406,100.0,16.5,8,Não
154,56,Masculino,RH,2536.32,37,83.78507896971126,100.0,11.4,1,Sim
155,52,Masculino,TI,23556.76633162448,46,101.69196571581426,100.0,19.4,2,Sim
156,35,Feminino,TI,2536.32,36,82.77966053226933,100.0,2.0,3,Sim
157,59,Masculino,Vendas,2536.32,30,71.3103087461196,100.0,10.6,9,Sim
158,56,Feminino,RH,2536.32,42,95.39568381078996,100.0,14.7,0,Não
159,34,Feminino,TI,20877.103937469125,48,105.4378319734217,100.0,17.4,6,Não
160,31,Masculino,Marketing,11290.57768365898,48,105.79077812625547,100.0,4.4,1,Não
161,48,Masculino,Vendas,17098.54052792376,46,100.31656180777905,100.0,16.2,4,Sim
162,41,Masculino,Marketing,18352.350726886885,42,93.19412993350382,100.0,11.5,0,Sim
163,52,Feminino,Marketing,3581.4888237148916,45,100.96485163309745,100.0,8.5,2,Sim
164,51,Feminino,Marketing,2536.32,37,85.61558282354824,100.0,3.5,1,Sim
165,20,Masculino,TI,10890.514181137136,48,104.76565112812008,100.0,17.4,0,Não
166,54,Feminino,Marketing,9108.237099798302,47,103.40753574084711,100.0,4.0,6,Sim
167,57,Masculino,Marketing,2626.557241793693,30,69.97359424304108,100.0,6.9,4,Sim
168,43,Masculino,TI,38010.0930231872,48,96.28016115881961,100.0,6.5,0,Sim
169,40,Feminino,Vendas,2536.32,48,105.19039648007835,100.0,17.6,5,Sim
170,56,Masculino,Marketing,16909.037490283496,44,98.42406104446408,100.0,13.8,4,Não
171,32,Feminino,Vendas,2853.6239129242676,47,103.52616065292908,100.0,16.1,2,Não
172,21,Masculino,Vendas,2536.32,31,71.98554772912172,100.0,5.8,6,Sim
173,46,Feminino,TI,2882.2220093427313,46,102.5462842480037,100.0,12.9,9,Sim
174,39,Masculino,RH,7124.7211637617875,47,104.00642226981094,100.0,11.9,8,Sim
175,42,Masculino,Marketing,19238.14204650792,35,79.56361410947343,100.0,16.8,8,Sim
176,30,Feminino,Vendas,8905.076768429317,48,105.89039019607416,100.0,18.2,8,Sim
177,35,Masculino,TI,21959.86348586408,33,75.91163704079466,100.0,1.2,1,Não
178,50,Feminino,RH,2536.32,30,69.62998897011788,100.0,13.8,2,Não
179,33,Feminino,RH,3585.3926621449355,37,83.7412039373329,100.0,2.0,6,Não
180,59,Feminino,TI,9822.203672805997,36,83.59864717050472,100.0,11.4,4,Não
181,19,Feminino,TI,2536.32,32,74.56091944794125,100.0,6.5,1,Não
182,52,Feminino,RH,2536.32,39,87.70451968197084,100.0,6.8,2,Não
183,59,Feminino,RH,2536.32,39,88.69695440451073,100.0,7.7,9,Não
184,51,Feminino,Marketing,17102.042157245596,48,105.66618051024399,100.0,12.8,5,Não
185,47,Feminino,RH,2536.32,43,97.17312463758664,100.0,7.3,6,Sim
186,30,Masculino,Marketing,2536.32,31,72.3696421921981,100.0,14.9,8,Não
187,30,Masculino,RH,2536.32,30,69.89269785599578,100.0,8.7,0,Não
188,35,Feminino,TI,13864.592931862455,47,104.44771692581028,100.0,2.3,6,Não
189,49,Masculino,Vendas,6711.414995475076,36,80.42912384793149,100.0,15.9,7,Não
190,49,Masculino,TI,16495.90920562653,37,82.8732325310902,100.0,6.4,2,Não
191,52,Masculino,Marketing,2536.32,30,68.80607499360094,100.0,9.2,3,Sim
192,56,Masculino,TI,15296.381473020818,32,74.14294309476371,100.0,14.0,9,Não
193,46,Feminino,TI,16342.64990377969,37,85.73251499948509,100.0,7.3,5,Sim
194,46,Feminino,Marketing,9800.664483390574,44,100.23130014619264,100.0,2.1,9,Sim
195,33,Masculino,TI,19732.225953846573,34,78.63805110144075,100.0,8.1,6,Sim
196,27,Masculino,Vendas,3710.504934254117,32,74.50084447494446,100.0,18.9,3,Não
197,47,Feminino,TI,21139.65289368946,48,104.19894226584726,100.0,13.2,7,Sim
198,42,Masculino,Marketing,2536.32,30,69.45732620026598,100.0,13.8,4,Sim
199,56,Feminino,Marketing,10926.00248633136,44,97.21221624809176,100.0,13.0,0,Não
200,37,Masculino,TI,19044.347515464833,37,83.37915240174888,100.0,4.8,3,Sim
201,22,Masculino,TI,14806.925826224826,31,71.8318561814152,100.0,8.9,2,Não
202,18,Feminino,Marketing,2536.32,32,73.52790942230287,100.0,15.3,8,Não
203,47,Masculino,Marketing,5428.463204804866,43,94.02070018962421,100.0,2.9,7,Sim
204,20,Feminino,Marketing,6132.710529113188,43,96.74791025611754,100.0,6.3,0,Não
205,31,Feminino,Marketing,2687.293022814192,40,88.92725697426019,100.0,6.3,5,Sim
206,47,Masculino,RH,16224.84386373721,45,100.23924686411115,100.0,9.2,8,Não
207,21,Feminino,TI,5585.842965058582,33,78.07408266974997,100.0,19.6,6,Não
208,35,Feminino,Marketing,8206.57352132618,48,107.08061540841358,100.0,2.3,3,Não
209,54,Masculino,Vendas,2536.32,34,75.46971247725367,100.0,10.9,0,Não
210,42,Feminino,Marketing,2536.32,43,95.7139957781199,100.0,4.4,1,Sim
211,18,Feminino,RH,2536.32,45,101.10095963499857,100.0,19.4,4,Sim
212,32,Feminino,Marketing,2536.32,47,105.95834745422059,100.0,3.2,4,Não
213,26,Feminino,Vendas,2536.32,36,80.77045040554758,100.0,8.7,7,Não
214,32,Masculino,Vendas,3767.0651287041837,39,88.49669922323652,100.0,15.0,5,Não
215,41,Feminino,Marketing,2536.32,36,81.53468954321994,100.0,14.4,7,Não
216,21,Feminino,Vendas,2536.32,30,69.89405164569587,100.0,9.0,1,Não
217,29,Feminino,TI,6584.530506075331,48,108.64434334701704,100.0,7.6,2,Não
218,54,Feminino,TI,21544.484130153156,45,98.49702967160485,100.0,8.6,5,Sim
219,54,Feminino,Vendas,8353.715555417664,48,106.25373966149458,100.0,6.0,9,Não
220,23,Masculino,Vendas,2536.32,33,76.46769317176543,100.0,4.9,2,Não
221,56,Feminino,TI,9483.75234665937,47,105.08578632493935,100.0,10.2,5,Sim
222,41,Feminino,TI,12118.762509902976,31,72.09798315347089,100.0,6.1,5,Não
223,28,Feminino,TI,9326.714407348336,30,70.30805053950411,100.0,6.5,1,Não
224,30,Feminino,TI,23448.15005437247,44,97.6083514325782,100.0,13.5,6,Não
225,51,Masculino,Vendas,2536.32,34,78.2691269412451,100.0,19.4,1,Sim
226,42,Masculino,Marketing,10330.109144315618,48,107.65680772450258,100.0,12.5,5,Sim
227,24,Masculino,Marketing,2536.32,40,90.62157188985606,100.0,2.5,0,Não
228,21,Masculino,Marketing,2536.32,39,87.63038966395636,100.0,2.4,2,Não
229,25,Feminino,TI,2536.32,31,72.37710039390218,100.0,19.1,1,Sim
230,37,Feminino,TI,5931.7573564057675,32,73.97073718631502,100.0,6.6,6,Sim
